time,open,high,low,close,tick_volume
2021-06-21 20:00:00,1783.72,1785.0,1782.42,1782.96,7083
2021-06-21 21:00:00,1783.13,1783.52,1782.41,1782.82,2491
2021-06-21 23:00:00,1781.46,1787.61,1781.46,1785.16,2967
2021-06-22 00:00:00,1785.27,1786.57,1783.27,1783.53,4530
2021-06-22 01:00:00,1783.46,1785.9,1782.94,1785.89,5321
2021-06-22 02:00:00,1785.87,1786.33,1782.75,1785.3,10282
2021-06-22 03:00:00,1785.33,1787.33,1784.27,1786.51,7580
2021-06-22 04:00:00,1786.51,1790.04,1786.13,1788.92,6822
2021-06-22 05:00:00,1788.89,1789.09,1787.53,1787.96,4049
2021-06-22 06:00:00,1787.99,1788.05,1779.31,1781.07,10048
2021-06-22 07:00:00,1781.07,1784.54,1779.93,1783.14,13075
2021-06-22 08:00:00,1783.2,1783.2,1776.92,1777.82,14675
2021-06-22 09:00:00,1777.9,1778.92,1776.38,1778.52,11087
2021-06-22 10:00:00,1778.51,1780.18,1777.54,1779.76,10115
2021-06-22 11:00:00,1779.76,1786.38,1779.03,1784.73,8879
2021-06-22 12:00:00,1784.73,1787.53,1780.51,1780.52,10298
2021-06-22 13:00:00,1780.5,1783.25,1772.34,1774.67,16714
2021-06-22 14:00:00,1774.61,1780.94,1773.01,1775.77,19176
2021-06-22 15:00:00,1775.75,1780.01,1774.21,1779.79,14960
2021-06-22 16:00:00,1779.75,1781.35,1774.68,1776.59,11679
2021-06-22 17:00:00,1776.59,1780.21,1776.19,1778.16,8202
2021-06-22 18:00:00,1778.18,1779.49,1776.84,1778.25,7126
2021-06-22 19:00:00,1778.26,1783.07,1777.59,1780.11,6755
2021-06-22 20:00:00,1780.13,1780.79,1775.83,1776.35,8943
2021-06-22 21:00:00,1776.29,1778.79,1775.11,1778.69,2984
2021-06-22 23:00:00,1778.81,1779.73,1778.6,1779.02,1949
2021-06-23 00:00:00,1779.02,1779.56,1777.38,1777.56,3058
2021-06-23 01:00:00,1777.55,1779.03,1777.18,1778.7,4742
2021-06-23 02:00:00,1778.71,1781.92,1777.72,1779.12,8760
